Instruction,Category,Constraints,Number_of_Constraints,SelectedConstraints
Write a real-life fairy tale without the magic. Set it in modern times,Realistic Fiction,"1. The protagonist must be a struggling musician trying to make ends meet in a big city.
2. Incorporate a subplot involving a lost family heirloom that the protagonist is searching for.
3. The story must include a talking animal that provides wisdom and guidance to the protagonist.
4. The antagonist must be a wealthy business tycoon trying to buy out the protagonist's favorite local hangout.
5. Include a twist where the protagonist discovers a long-lost family connection to the antagonist.
6. The story should explore themes of friendship and community support in the face of adversity.
7. Write the story in first-person perspective, from the protagonist's point of view.
8. Include dialogue that showcases the diverse cultural background of the characters.
9. The story must have a romantic subplot involving a quirky barista from the protagonist's favorite coffee shop.
10. Describe the city setting in vivid detail, focusing on sounds, smells, and sights to create a sensory experience for the reader.
11. Develop a parallel between a classic fairy tale (e.g., Cinderella, Snow White) and the modern story without using direct references.
12. Include social media as a tool for the protagonist to connect with others and advance the plot.
13. Integrate a modern interpretation of a fairy tale-like moral lesson into the narrative.
14. The story must contain a moment where the protagonist is faced with a moral dilemma that tests their integrity.
15. The climax of the story should involve a public performance that determines the protagonist's future success.
16. Include a subplot where the protagonist volunteers at a local community center and learns valuable life lessons.
17. The resolution should focus on personal growth and self-acceptance rather than material gain.
18. Use a non-linear narrative structure to reveal key information about the protagonist's past.
19. Incorporate elements of suspense and mystery to keep the reader engaged throughout the story.
20. The story must end with a hopeful and open-ended conclusion that leaves room for interpretation by the reader.",3,"1. The protagonist must be a struggling musician trying to make ends meet in a big city.
2. Incorporate a subplot involving a lost family heirloom that the protagonist is searching for.
3. The story must include a talking animal that provides wisdom and guidance to the protagonist."
Write a real-life fairy tale without the magic. Set it in modern times,Realistic Fiction,"1. The protagonist must be a struggling musician trying to make ends meet in a big city.
2. Incorporate a subplot involving a lost family heirloom that the protagonist is searching for.
3. The story must include a talking animal that provides wisdom and guidance to the protagonist.
4. The antagonist must be a wealthy business tycoon trying to buy out the protagonist's favorite local hangout.
5. Include a twist where the protagonist discovers a long-lost family connection to the antagonist.
6. The story should explore themes of friendship and community support in the face of adversity.
7. Write the story in first-person perspective, from the protagonist's point of view.
8. Include dialogue that showcases the diverse cultural background of the characters.
9. The story must have a romantic subplot involving a quirky barista from the protagonist's favorite coffee shop.
10. Describe the city setting in vivid detail, focusing on sounds, smells, and sights to create a sensory experience for the reader.
11. Develop a parallel between a classic fairy tale (e.g., Cinderella, Snow White) and the modern story without using direct references.
12. Include social media as a tool for the protagonist to connect with others and advance the plot.
13. Integrate a modern interpretation of a fairy tale-like moral lesson into the narrative.
14. The story must contain a moment where the protagonist is faced with a moral dilemma that tests their integrity.
15. The climax of the story should involve a public performance that determines the protagonist's future success.
16. Include a subplot where the protagonist volunteers at a local community center and learns valuable life lessons.
17. The resolution should focus on personal growth and self-acceptance rather than material gain.
18. Use a non-linear narrative structure to reveal key information about the protagonist's past.
19. Incorporate elements of suspense and mystery to keep the reader engaged throughout the story.
20. The story must end with a hopeful and open-ended conclusion that leaves room for interpretation by the reader.",7,"1. The protagonist must be a struggling musician trying to make ends meet in a big city.
2. Incorporate a subplot involving a lost family heirloom that the protagonist is searching for.
3. The story must include a talking animal that provides wisdom and guidance to the protagonist.
4. The antagonist must be a wealthy business tycoon trying to buy out the protagonist's favorite local hangout.
5. Include a twist where the protagonist discovers a long-lost family connection to the antagonist.
6. The story should explore themes of friendship and community support in the face of adversity.
7. Write the story in first-person perspective, from the protagonist's point of view."
Write a real-life fairy tale without the magic. Set it in modern times,Realistic Fiction,"1. The protagonist must be a struggling musician trying to make ends meet in a big city.
2. Incorporate a subplot involving a lost family heirloom that the protagonist is searching for.
3. The story must include a talking animal that provides wisdom and guidance to the protagonist.
4. The antagonist must be a wealthy business tycoon trying to buy out the protagonist's favorite local hangout.
5. Include a twist where the protagonist discovers a long-lost family connection to the antagonist.
6. The story should explore themes of friendship and community support in the face of adversity.
7. Write the story in first-person perspective, from the protagonist's point of view.
8. Include dialogue that showcases the diverse cultural background of the characters.
9. The story must have a romantic subplot involving a quirky barista from the protagonist's favorite coffee shop.
10. Describe the city setting in vivid detail, focusing on sounds, smells, and sights to create a sensory experience for the reader.
11. Develop a parallel between a classic fairy tale (e.g., Cinderella, Snow White) and the modern story without using direct references.
12. Include social media as a tool for the protagonist to connect with others and advance the plot.
13. Integrate a modern interpretation of a fairy tale-like moral lesson into the narrative.
14. The story must contain a moment where the protagonist is faced with a moral dilemma that tests their integrity.
15. The climax of the story should involve a public performance that determines the protagonist's future success.
16. Include a subplot where the protagonist volunteers at a local community center and learns valuable life lessons.
17. The resolution should focus on personal growth and self-acceptance rather than material gain.
18. Use a non-linear narrative structure to reveal key information about the protagonist's past.
19. Incorporate elements of suspense and mystery to keep the reader engaged throughout the story.
20. The story must end with a hopeful and open-ended conclusion that leaves room for interpretation by the reader.",11,"1. The protagonist must be a struggling musician trying to make ends meet in a big city.
2. Incorporate a subplot involving a lost family heirloom that the protagonist is searching for.
3. The story must include a talking animal that provides wisdom and guidance to the protagonist.
4. The antagonist must be a wealthy business tycoon trying to buy out the protagonist's favorite local hangout.
5. Include a twist where the protagonist discovers a long-lost family connection to the antagonist.
6. The story should explore themes of friendship and community support in the face of adversity.
7. Write the story in first-person perspective, from the protagonist's point of view.
8. Include dialogue that showcases the diverse cultural background of the characters.
9. The story must have a romantic subplot involving a quirky barista from the protagonist's favorite coffee shop.
10. Describe the city setting in vivid detail, focusing on sounds, smells, and sights to create a sensory experience for the reader.
11. Develop a parallel between a classic fairy tale (e.g., Cinderella, Snow White) and the modern story without using direct references."
Write a real-life fairy tale without the magic. Set it in modern times,Realistic Fiction,"1. The protagonist must be a struggling musician trying to make ends meet in a big city.
2. Incorporate a subplot involving a lost family heirloom that the protagonist is searching for.
3. The story must include a talking animal that provides wisdom and guidance to the protagonist.
4. The antagonist must be a wealthy business tycoon trying to buy out the protagonist's favorite local hangout.
5. Include a twist where the protagonist discovers a long-lost family connection to the antagonist.
6. The story should explore themes of friendship and community support in the face of adversity.
7. Write the story in first-person perspective, from the protagonist's point of view.
8. Include dialogue that showcases the diverse cultural background of the characters.
9. The story must have a romantic subplot involving a quirky barista from the protagonist's favorite coffee shop.
10. Describe the city setting in vivid detail, focusing on sounds, smells, and sights to create a sensory experience for the reader.
11. Develop a parallel between a classic fairy tale (e.g., Cinderella, Snow White) and the modern story without using direct references.
12. Include social media as a tool for the protagonist to connect with others and advance the plot.
13. Integrate a modern interpretation of a fairy tale-like moral lesson into the narrative.
14. The story must contain a moment where the protagonist is faced with a moral dilemma that tests their integrity.
15. The climax of the story should involve a public performance that determines the protagonist's future success.
16. Include a subplot where the protagonist volunteers at a local community center and learns valuable life lessons.
17. The resolution should focus on personal growth and self-acceptance rather than material gain.
18. Use a non-linear narrative structure to reveal key information about the protagonist's past.
19. Incorporate elements of suspense and mystery to keep the reader engaged throughout the story.
20. The story must end with a hopeful and open-ended conclusion that leaves room for interpretation by the reader.",15,"1. The protagonist must be a struggling musician trying to make ends meet in a big city.
2. Incorporate a subplot involving a lost family heirloom that the protagonist is searching for.
3. The story must include a talking animal that provides wisdom and guidance to the protagonist.
4. The antagonist must be a wealthy business tycoon trying to buy out the protagonist's favorite local hangout.
5. Include a twist where the protagonist discovers a long-lost family connection to the antagonist.
6. The story should explore themes of friendship and community support in the face of adversity.
7. Write the story in first-person perspective, from the protagonist's point of view.
8. Include dialogue that showcases the diverse cultural background of the characters.
9. The story must have a romantic subplot involving a quirky barista from the protagonist's favorite coffee shop.
10. Describe the city setting in vivid detail, focusing on sounds, smells, and sights to create a sensory experience for the reader.
11. Develop a parallel between a classic fairy tale (e.g., Cinderella, Snow White) and the modern story without using direct references.
12. Include social media as a tool for the protagonist to connect with others and advance the plot.
13. Integrate a modern interpretation of a fairy tale-like moral lesson into the narrative.
14. The story must contain a moment where the protagonist is faced with a moral dilemma that tests their integrity.
15. The climax of the story should involve a public performance that determines the protagonist's future success."
Write a real-life fairy tale without the magic. Set it in modern times,Realistic Fiction,"1. The protagonist must be a struggling musician trying to make ends meet in a big city.
2. Incorporate a subplot involving a lost family heirloom that the protagonist is searching for.
3. The story must include a talking animal that provides wisdom and guidance to the protagonist.
4. The antagonist must be a wealthy business tycoon trying to buy out the protagonist's favorite local hangout.
5. Include a twist where the protagonist discovers a long-lost family connection to the antagonist.
6. The story should explore themes of friendship and community support in the face of adversity.
7. Write the story in first-person perspective, from the protagonist's point of view.
8. Include dialogue that showcases the diverse cultural background of the characters.
9. The story must have a romantic subplot involving a quirky barista from the protagonist's favorite coffee shop.
10. Describe the city setting in vivid detail, focusing on sounds, smells, and sights to create a sensory experience for the reader.
11. Develop a parallel between a classic fairy tale (e.g., Cinderella, Snow White) and the modern story without using direct references.
12. Include social media as a tool for the protagonist to connect with others and advance the plot.
13. Integrate a modern interpretation of a fairy tale-like moral lesson into the narrative.
14. The story must contain a moment where the protagonist is faced with a moral dilemma that tests their integrity.
15. The climax of the story should involve a public performance that determines the protagonist's future success.
16. Include a subplot where the protagonist volunteers at a local community center and learns valuable life lessons.
17. The resolution should focus on personal growth and self-acceptance rather than material gain.
18. Use a non-linear narrative structure to reveal key information about the protagonist's past.
19. Incorporate elements of suspense and mystery to keep the reader engaged throughout the story.
20. The story must end with a hopeful and open-ended conclusion that leaves room for interpretation by the reader.",19,"1. The protagonist must be a struggling musician trying to make ends meet in a big city.
2. Incorporate a subplot involving a lost family heirloom that the protagonist is searching for.
3. The story must include a talking animal that provides wisdom and guidance to the protagonist.
4. The antagonist must be a wealthy business tycoon trying to buy out the protagonist's favorite local hangout.
5. Include a twist where the protagonist discovers a long-lost family connection to the antagonist.
6. The story should explore themes of friendship and community support in the face of adversity.
7. Write the story in first-person perspective, from the protagonist's point of view.
8. Include dialogue that showcases the diverse cultural background of the characters.
9. The story must have a romantic subplot involving a quirky barista from the protagonist's favorite coffee shop.
10. Describe the city setting in vivid detail, focusing on sounds, smells, and sights to create a sensory experience for the reader.
11. Develop a parallel between a classic fairy tale (e.g., Cinderella, Snow White) and the modern story without using direct references.
12. Include social media as a tool for the protagonist to connect with others and advance the plot.
13. Integrate a modern interpretation of a fairy tale-like moral lesson into the narrative.
14. The story must contain a moment where the protagonist is faced with a moral dilemma that tests their integrity.
15. The climax of the story should involve a public performance that determines the protagonist's future success.
16. Include a subplot where the protagonist volunteers at a local community center and learns valuable life lessons.
17. The resolution should focus on personal growth and self-acceptance rather than material gain.
18. Use a non-linear narrative structure to reveal key information about the protagonist's past.
19. Incorporate elements of suspense and mystery to keep the reader engaged throughout the story."
Write a story where your character is travelling a road that has no end.,Realistic Fiction,"1. The road must be surrounded by a dense fog that limits visibility to five feet ahead.
2. The character's only companion is a talking cat that only speaks in riddles.
3. Every mile the character travels, a new tattoo appears on their body without any pain.
4. The road must have shifting signs written in a language the character slowly begins to understand.
5. The character must encounter three distinct challenges that test their deepest fears.
6. The character must find a hidden key before they can progress further.
7. The road must lead the character through four different seasons in a non-linear order.
8. Every time the character tries to turn back, they find themselves facing forward again.
9. The character must meet three other travelers on the same endless road, each with a unique tragic backstory.
10. The road must pass through a town frozen in time, where the inhabitants are stuck in a single moment of their lives.
11. The character must witness a recurring eclipse that marks significant events in their journey.
12. The road must have whispers that guide the character but can never be fully understood.
13. The character must experience time loops where they repeat a section of the road until they solve a puzzle.
14. The road must have an invisible barrier that prevents the character from leaving its path.
15. The character must have a locket that glows brighter as they get closer to the end of the road.
16. The road must contain three portals that offer glimpses into the character's past, present, and future.
17. The character must be haunted by visions of a mysterious figure following them from a distance.
18. The road must provide sustenance for the character through magical fruits that appear at random intervals.
19. The character must keep a journal that writes entries on its own, detailing their thoughts and emotions during the journey.
20. The story must end with the character reaching a literal dead-end where they must confront the true purpose of their endless road.",3,"1. The road must be surrounded by a dense fog that limits visibility to five feet ahead.
2. The character's only companion is a talking cat that only speaks in riddles.
3. Every mile the character travels, a new tattoo appears on their body without any pain."
Write a story where your character is travelling a road that has no end.,Realistic Fiction,"1. The road must be surrounded by a dense fog that limits visibility to five feet ahead.
2. The character's only companion is a talking cat that only speaks in riddles.
3. Every mile the character travels, a new tattoo appears on their body without any pain.
4. The road must have shifting signs written in a language the character slowly begins to understand.
5. The character must encounter three distinct challenges that test their deepest fears.
6. The character must find a hidden key before they can progress further.
7. The road must lead the character through four different seasons in a non-linear order.
8. Every time the character tries to turn back, they find themselves facing forward again.
9. The character must meet three other travelers on the same endless road, each with a unique tragic backstory.
10. The road must pass through a town frozen in time, where the inhabitants are stuck in a single moment of their lives.
11. The character must witness a recurring eclipse that marks significant events in their journey.
12. The road must have whispers that guide the character but can never be fully understood.
13. The character must experience time loops where they repeat a section of the road until they solve a puzzle.
14. The road must have an invisible barrier that prevents the character from leaving its path.
15. The character must have a locket that glows brighter as they get closer to the end of the road.
16. The road must contain three portals that offer glimpses into the character's past, present, and future.
17. The character must be haunted by visions of a mysterious figure following them from a distance.
18. The road must provide sustenance for the character through magical fruits that appear at random intervals.
19. The character must keep a journal that writes entries on its own, detailing their thoughts and emotions during the journey.
20. The story must end with the character reaching a literal dead-end where they must confront the true purpose of their endless road.",7,"1. The road must be surrounded by a dense fog that limits visibility to five feet ahead.
2. The character's only companion is a talking cat that only speaks in riddles.
3. Every mile the character travels, a new tattoo appears on their body without any pain.
4. The road must have shifting signs written in a language the character slowly begins to understand.
5. The character must encounter three distinct challenges that test their deepest fears.
6. The character must find a hidden key before they can progress further.
7. The road must lead the character through four different seasons in a non-linear order."
Write a story where your character is travelling a road that has no end.,Realistic Fiction,"1. The road must be surrounded by a dense fog that limits visibility to five feet ahead.
2. The character's only companion is a talking cat that only speaks in riddles.
3. Every mile the character travels, a new tattoo appears on their body without any pain.
4. The road must have shifting signs written in a language the character slowly begins to understand.
5. The character must encounter three distinct challenges that test their deepest fears.
6. The character must find a hidden key before they can progress further.
7. The road must lead the character through four different seasons in a non-linear order.
8. Every time the character tries to turn back, they find themselves facing forward again.
9. The character must meet three other travelers on the same endless road, each with a unique tragic backstory.
10. The road must pass through a town frozen in time, where the inhabitants are stuck in a single moment of their lives.
11. The character must witness a recurring eclipse that marks significant events in their journey.
12. The road must have whispers that guide the character but can never be fully understood.
13. The character must experience time loops where they repeat a section of the road until they solve a puzzle.
14. The road must have an invisible barrier that prevents the character from leaving its path.
15. The character must have a locket that glows brighter as they get closer to the end of the road.
16. The road must contain three portals that offer glimpses into the character's past, present, and future.
17. The character must be haunted by visions of a mysterious figure following them from a distance.
18. The road must provide sustenance for the character through magical fruits that appear at random intervals.
19. The character must keep a journal that writes entries on its own, detailing their thoughts and emotions during the journey.
20. The story must end with the character reaching a literal dead-end where they must confront the true purpose of their endless road.",11,"1. The road must be surrounded by a dense fog that limits visibility to five feet ahead.
2. The character's only companion is a talking cat that only speaks in riddles.
3. Every mile the character travels, a new tattoo appears on their body without any pain.
4. The road must have shifting signs written in a language the character slowly begins to understand.
5. The character must encounter three distinct challenges that test their deepest fears.
6. The character must find a hidden key before they can progress further.
7. The road must lead the character through four different seasons in a non-linear order.
8. Every time the character tries to turn back, they find themselves facing forward again.
9. The character must meet three other travelers on the same endless road, each with a unique tragic backstory.
10. The road must pass through a town frozen in time, where the inhabitants are stuck in a single moment of their lives.
11. The character must witness a recurring eclipse that marks significant events in their journey."
Write a story where your character is travelling a road that has no end.,Realistic Fiction,"1. The road must be surrounded by a dense fog that limits visibility to five feet ahead.
2. The character's only companion is a talking cat that only speaks in riddles.
3. Every mile the character travels, a new tattoo appears on their body without any pain.
4. The road must have shifting signs written in a language the character slowly begins to understand.
5. The character must encounter three distinct challenges that test their deepest fears.
6. The character must find a hidden key before they can progress further.
7. The road must lead the character through four different seasons in a non-linear order.
8. Every time the character tries to turn back, they find themselves facing forward again.
9. The character must meet three other travelers on the same endless road, each with a unique tragic backstory.
10. The road must pass through a town frozen in time, where the inhabitants are stuck in a single moment of their lives.
11. The character must witness a recurring eclipse that marks significant events in their journey.
12. The road must have whispers that guide the character but can never be fully understood.
13. The character must experience time loops where they repeat a section of the road until they solve a puzzle.
14. The road must have an invisible barrier that prevents the character from leaving its path.
15. The character must have a locket that glows brighter as they get closer to the end of the road.
16. The road must contain three portals that offer glimpses into the character's past, present, and future.
17. The character must be haunted by visions of a mysterious figure following them from a distance.
18. The road must provide sustenance for the character through magical fruits that appear at random intervals.
19. The character must keep a journal that writes entries on its own, detailing their thoughts and emotions during the journey.
20. The story must end with the character reaching a literal dead-end where they must confront the true purpose of their endless road.",15,"1. The road must be surrounded by a dense fog that limits visibility to five feet ahead.
2. The character's only companion is a talking cat that only speaks in riddles.
3. Every mile the character travels, a new tattoo appears on their body without any pain.
4. The road must have shifting signs written in a language the character slowly begins to understand.
5. The character must encounter three distinct challenges that test their deepest fears.
6. The character must find a hidden key before they can progress further.
7. The road must lead the character through four different seasons in a non-linear order.
8. Every time the character tries to turn back, they find themselves facing forward again.
9. The character must meet three other travelers on the same endless road, each with a unique tragic backstory.
10. The road must pass through a town frozen in time, where the inhabitants are stuck in a single moment of their lives.
11. The character must witness a recurring eclipse that marks significant events in their journey.
12. The road must have whispers that guide the character but can never be fully understood.
13. The character must experience time loops where they repeat a section of the road until they solve a puzzle.
14. The road must have an invisible barrier that prevents the character from leaving its path.
15. The character must have a locket that glows brighter as they get closer to the end of the road."
Write a story where your character is travelling a road that has no end.,Realistic Fiction,"1. The road must be surrounded by a dense fog that limits visibility to five feet ahead.
2. The character's only companion is a talking cat that only speaks in riddles.
3. Every mile the character travels, a new tattoo appears on their body without any pain.
4. The road must have shifting signs written in a language the character slowly begins to understand.
5. The character must encounter three distinct challenges that test their deepest fears.
6. The character must find a hidden key before they can progress further.
7. The road must lead the character through four different seasons in a non-linear order.
8. Every time the character tries to turn back, they find themselves facing forward again.
9. The character must meet three other travelers on the same endless road, each with a unique tragic backstory.
10. The road must pass through a town frozen in time, where the inhabitants are stuck in a single moment of their lives.
11. The character must witness a recurring eclipse that marks significant events in their journey.
12. The road must have whispers that guide the character but can never be fully understood.
13. The character must experience time loops where they repeat a section of the road until they solve a puzzle.
14. The road must have an invisible barrier that prevents the character from leaving its path.
15. The character must have a locket that glows brighter as they get closer to the end of the road.
16. The road must contain three portals that offer glimpses into the character's past, present, and future.
17. The character must be haunted by visions of a mysterious figure following them from a distance.
18. The road must provide sustenance for the character through magical fruits that appear at random intervals.
19. The character must keep a journal that writes entries on its own, detailing their thoughts and emotions during the journey.
20. The story must end with the character reaching a literal dead-end where they must confront the true purpose of their endless road.",19,"1. The road must be surrounded by a dense fog that limits visibility to five feet ahead.
2. The character's only companion is a talking cat that only speaks in riddles.
3. Every mile the character travels, a new tattoo appears on their body without any pain.
4. The road must have shifting signs written in a language the character slowly begins to understand.
5. The character must encounter three distinct challenges that test their deepest fears.
6. The character must find a hidden key before they can progress further.
7. The road must lead the character through four different seasons in a non-linear order.
8. Every time the character tries to turn back, they find themselves facing forward again.
9. The character must meet three other travelers on the same endless road, each with a unique tragic backstory.
10. The road must pass through a town frozen in time, where the inhabitants are stuck in a single moment of their lives.
11. The character must witness a recurring eclipse that marks significant events in their journey.
12. The road must have whispers that guide the character but can never be fully understood.
13. The character must experience time loops where they repeat a section of the road until they solve a puzzle.
14. The road must have an invisible barrier that prevents the character from leaving its path.
15. The character must have a locket that glows brighter as they get closer to the end of the road.
16. The road must contain three portals that offer glimpses into the character's past, present, and future.
17. The character must be haunted by visions of a mysterious figure following them from a distance.
18. The road must provide sustenance for the character through magical fruits that appear at random intervals.
19. The character must keep a journal that writes entries on its own, detailing their thoughts and emotions during the journey."
Write a story about a character who has a crush on their coworker and goes to extreme lengths to get their attention.,Realistic Fiction,"1. The character must have a fear of public speaking that hinders their ability to directly communicate with their coworker.
2. The story must be set in a small, family-owned bakery where both the character and their coworker work.
3. The protagonist must be a vegan and their crush must be a devoted meat lover, causing initial conflict.
4. The protagonist must struggle with a secret hobby of collecting vintage teapots, which they are embarrassed about.
5. The story must include a subplot where the coworker is planning to leave the job to pursue a career in music.
6. The protagonist must have a strict daily routine that includes waking up at 4:00 am every day.
7. The story must involve a mistaken identity situation where the coworker confuses the protagonist with someone else.
8. The protagonist must have a quirky best friend who gives them questionable advice on how to get their crush's attention.
9. The protagonist's cat must play a significant role in a pivotal moment of the story.
10. The protagonist must have a tendency to break into spontaneous dance routines when nervous or anxious.
11. The story must include at least three baking competitions that the characters participate in together.
12. The protagonist must be allergic to roses, which becomes a source of comedic mishaps throughout the story.
13. The protagonist must write a series of anonymous love notes to their coworker in an attempt to express their feelings.
14. The story must take place over the course of a single week, with each chapter dedicated to a different day.
15. The protagonist must have a special talent for creating elaborate cake decorations that tie into their attempts to impress their crush.
16. The protagonist must have a habit of talking to their reflection in the bakery's antique mirror for pep talks.
17. The story must include at least one instance of mistaken identity or misunderstanding that complicates the protagonist's efforts to get their coworker's attention.
18. The climax of the story must involve a surprise birthday party thrown for the coworker, organized by the protagonist.
19. The protagonist must have a unique superstition that they believe brings them luck in love.
20. The story must end with the protagonist finally overcoming their fear of public speaking and confessing their feelings to the coworker in a creative way involving their shared love of baking.",3,"1. The character must have a fear of public speaking that hinders their ability to directly communicate with their coworker.
2. The story must be set in a small, family-owned bakery where both the character and their coworker work.
3. The protagonist must be a vegan and their crush must be a devoted meat lover, causing initial conflict."
Write a story about a character who has a crush on their coworker and goes to extreme lengths to get their attention.,Realistic Fiction,"1. The character must have a fear of public speaking that hinders their ability to directly communicate with their coworker.
2. The story must be set in a small, family-owned bakery where both the character and their coworker work.
3. The protagonist must be a vegan and their crush must be a devoted meat lover, causing initial conflict.
4. The protagonist must struggle with a secret hobby of collecting vintage teapots, which they are embarrassed about.
5. The story must include a subplot where the coworker is planning to leave the job to pursue a career in music.
6. The protagonist must have a strict daily routine that includes waking up at 4:00 am every day.
7. The story must involve a mistaken identity situation where the coworker confuses the protagonist with someone else.
8. The protagonist must have a quirky best friend who gives them questionable advice on how to get their crush's attention.
9. The protagonist's cat must play a significant role in a pivotal moment of the story.
10. The protagonist must have a tendency to break into spontaneous dance routines when nervous or anxious.
11. The story must include at least three baking competitions that the characters participate in together.
12. The protagonist must be allergic to roses, which becomes a source of comedic mishaps throughout the story.
13. The protagonist must write a series of anonymous love notes to their coworker in an attempt to express their feelings.
14. The story must take place over the course of a single week, with each chapter dedicated to a different day.
15. The protagonist must have a special talent for creating elaborate cake decorations that tie into their attempts to impress their crush.
16. The protagonist must have a habit of talking to their reflection in the bakery's antique mirror for pep talks.
17. The story must include at least one instance of mistaken identity or misunderstanding that complicates the protagonist's efforts to get their coworker's attention.
18. The climax of the story must involve a surprise birthday party thrown for the coworker, organized by the protagonist.
19. The protagonist must have a unique superstition that they believe brings them luck in love.
20. The story must end with the protagonist finally overcoming their fear of public speaking and confessing their feelings to the coworker in a creative way involving their shared love of baking.",7,"1. The character must have a fear of public speaking that hinders their ability to directly communicate with their coworker.
2. The story must be set in a small, family-owned bakery where both the character and their coworker work.
3. The protagonist must be a vegan and their crush must be a devoted meat lover, causing initial conflict.
4. The protagonist must struggle with a secret hobby of collecting vintage teapots, which they are embarrassed about.
5. The story must include a subplot where the coworker is planning to leave the job to pursue a career in music.
6. The protagonist must have a strict daily routine that includes waking up at 4:00 am every day.
7. The story must involve a mistaken identity situation where the coworker confuses the protagonist with someone else."
Write a story about a character who has a crush on their coworker and goes to extreme lengths to get their attention.,Realistic Fiction,"1. The character must have a fear of public speaking that hinders their ability to directly communicate with their coworker.
2. The story must be set in a small, family-owned bakery where both the character and their coworker work.
3. The protagonist must be a vegan and their crush must be a devoted meat lover, causing initial conflict.
4. The protagonist must struggle with a secret hobby of collecting vintage teapots, which they are embarrassed about.
5. The story must include a subplot where the coworker is planning to leave the job to pursue a career in music.
6. The protagonist must have a strict daily routine that includes waking up at 4:00 am every day.
7. The story must involve a mistaken identity situation where the coworker confuses the protagonist with someone else.
8. The protagonist must have a quirky best friend who gives them questionable advice on how to get their crush's attention.
9. The protagonist's cat must play a significant role in a pivotal moment of the story.
10. The protagonist must have a tendency to break into spontaneous dance routines when nervous or anxious.
11. The story must include at least three baking competitions that the characters participate in together.
12. The protagonist must be allergic to roses, which becomes a source of comedic mishaps throughout the story.
13. The protagonist must write a series of anonymous love notes to their coworker in an attempt to express their feelings.
14. The story must take place over the course of a single week, with each chapter dedicated to a different day.
15. The protagonist must have a special talent for creating elaborate cake decorations that tie into their attempts to impress their crush.
16. The protagonist must have a habit of talking to their reflection in the bakery's antique mirror for pep talks.
17. The story must include at least one instance of mistaken identity or misunderstanding that complicates the protagonist's efforts to get their coworker's attention.
18. The climax of the story must involve a surprise birthday party thrown for the coworker, organized by the protagonist.
19. The protagonist must have a unique superstition that they believe brings them luck in love.
20. The story must end with the protagonist finally overcoming their fear of public speaking and confessing their feelings to the coworker in a creative way involving their shared love of baking.",11,"1. The character must have a fear of public speaking that hinders their ability to directly communicate with their coworker.
2. The story must be set in a small, family-owned bakery where both the character and their coworker work.
3. The protagonist must be a vegan and their crush must be a devoted meat lover, causing initial conflict.
4. The protagonist must struggle with a secret hobby of collecting vintage teapots, which they are embarrassed about.
5. The story must include a subplot where the coworker is planning to leave the job to pursue a career in music.
6. The protagonist must have a strict daily routine that includes waking up at 4:00 am every day.
7. The story must involve a mistaken identity situation where the coworker confuses the protagonist with someone else.
8. The protagonist must have a quirky best friend who gives them questionable advice on how to get their crush's attention.
9. The protagonist's cat must play a significant role in a pivotal moment of the story.
10. The protagonist must have a tendency to break into spontaneous dance routines when nervous or anxious.
11. The story must include at least three baking competitions that the characters participate in together."
